duration,Type,mode,len,IP,len,src_IP,dst_IP,len,class
23:08:22.045250,"ARP,",Ethernet,6,len,4,10.0.0.49,"10.0.0.1,",28,0
23:08:22.046970,"ARP,",Ethernet,6,len,4,10.0.0.49,8e:e1:d4:93:36:3d,28,1
23:08:22.489118,"ARP,",Ethernet,6,len,4,10.0.0.22,"10.0.0.1,",28,0
23:08:22.491151,"ARP,",Ethernet,6,len,4,10.0.0.22,4a:fa:04:15:71:54,28,1
23:08:22.793411,"ARP,",Ethernet,6,len,4,10.0.0.55,"10.0.0.1,",28,0
23:08:22.794792,"ARP,",Ethernet,6,len,4,10.0.0.55,46:85:bb:f8:18:51,28,1
23:08:22.965226,"ARP,",Ethernet,6,len,4,10.0.0.46,"10.0.0.1,",28,0
23:08:22.967283,"ARP,",Ethernet,6,len,4,10.0.0.46,82:99:80:4f:d9:a3,28,1
23:08:23.269340,"ARP,",Ethernet,6,len,4,10.0.0.62,"10.0.0.1,",28,0
23:08:23.270554,"ARP,",Ethernet,6,len,4,10.0.0.62,52:0a:09:99:28:15,28,1
23:08:23.573064,"ARP,",Ethernet,6,len,4,10.0.0.11,"10.0.0.1,",28,0
23:08:23.574422,"ARP,",Ethernet,6,len,4,10.0.0.11,3a:24:10:12:0e:85,28,1
23:08:23.741251,"ARP,",Ethernet,6,len,4,10.0.0.16,"10.0.0.1,",28,0
23:08:23.743064,"ARP,",Ethernet,6,len,4,10.0.0.16,46:87:6e:36:e7:56,28,1
23:08:23.914214,"ARP,",Ethernet,6,len,4,10.0.0.4,"10.0.0.1,",28,0
23:08:23.914493,"ARP,",Ethernet,6,len,4,10.0.0.4,22:46:10:24:84:9d,28,1
23:08:24.077617,"ARP,",Ethernet,6,len,4,10.0.0.45,"10.0.0.1,",28,0
23:08:24.079266,"ARP,",Ethernet,6,len,4,10.0.0.45,8a:80:db:42:17:51,28,1
23:08:24.256186,"ARP,",Ethernet,6,len,4,10.0.0.13,"10.0.0.1,",28,0
23:08:24.258454,"ARP,",Ethernet,6,len,4,10.0.0.13,d6:45:9b:e2:96:63,28,1
23:08:24.425548,"ARP,",Ethernet,6,len,4,10.0.0.54,"10.0.0.1,",28,0
23:08:24.426649,"ARP,",Ethernet,6,len,4,10.0.0.54,a2:44:a5:40:97:15,28,1
23:08:24.601183,"ARP,",Ethernet,6,len,4,10.0.0.51,"10.0.0.1,",28,0
23:08:24.602403,"ARP,",Ethernet,6,len,4,10.0.0.51,2a:50:c8:36:e6:54,28,1
23:08:24.905573,"ARP,",Ethernet,6,len,4,10.0.0.61,"10.0.0.1,",28,0
23:08:24.906198,"ARP,",Ethernet,6,len,4,10.0.0.61,d6:ea:53:86:bf:80,28,1
23:08:25.077156,"ARP,",Ethernet,6,len,4,10.0.0.59,"10.0.0.1,",28,0
23:08:25.077537,"ARP,",Ethernet,6,len,4,10.0.0.59,fe:a2:92:e7:3a:3d,28,1
23:08:25.245228,"ARP,",Ethernet,6,len,4,10.0.0.29,"10.0.0.1,",28,0
23:08:25.246792,"ARP,",Ethernet,6,len,4,10.0.0.29,06:aa:d0:a8:00:34,28,1
23:08:25.680671,"ARP,",Ethernet,6,len,4,10.0.0.5,"10.0.0.1,",28,0
23:08:25.681860,"ARP,",Ethernet,6,len,4,10.0.0.5,8e:af:6b:43:99:a8,28,1
23:08:25.845033,"ARP,",Ethernet,6,len,4,10.0.0.41,"10.0.0.1,",28,0
23:08:25.846495,"ARP,",Ethernet,6,len,4,10.0.0.41,26:6d:8a:e8:42:5d,28,1
