duration,Type,mode,len,IP,len,src_IP,dst_IP,len,class
23:08:19.369122,"ARP,",Ethernet,6,len,4,10.0.0.43,"10.0.0.1,",28,0
23:08:19.370399,"ARP,",Ethernet,6,len,4,10.0.0.43,a2:af:f7:fa:e7:79,28,1
23:08:19.537579,"ARP,",Ethernet,6,len,4,10.0.0.20,"10.0.0.1,",28,0
23:08:19.539086,"ARP,",Ethernet,6,len,4,10.0.0.20,3e:c3:a1:ab:99:4b,28,1
23:08:19.709037,"ARP,",Ethernet,6,len,4,10.0.0.6,"10.0.0.1,",28,0
23:08:19.710925,"ARP,",Ethernet,6,len,4,10.0.0.6,2a:9f:af:f5:3b:d2,28,1
23:08:19.873976,"ARP,",Ethernet,6,len,4,10.0.0.26,"10.0.0.1,",28,0
23:08:19.875922,"ARP,",Ethernet,6,len,4,10.0.0.26,86:6d:2c:f9:1a:fb,28,1
23:08:20.050691,"ARP,",Ethernet,6,len,4,10.0.0.3,"10.0.0.1,",28,0
23:08:20.050734,"ARP,",Ethernet,6,len,4,10.0.0.3,02:9c:e4:c0:73:2d,28,1
23:08:20.208697,"ARP,",Ethernet,6,len,4,10.0.0.15,"10.0.0.1,",28,0
23:08:20.210804,"ARP,",Ethernet,6,len,4,10.0.0.15,fa:9f:a8:d2:37:91,28,1
23:08:20.380862,"ARP,",Ethernet,6,len,4,10.0.0.14,"10.0.0.1,",28,0
23:08:20.389352,"ARP,",Ethernet,6,len,4,10.0.0.14,ee:b8:59:d7:7e:dc,28,1
23:08:20.556927,"ARP,",Ethernet,6,len,4,10.0.0.21,"10.0.0.1,",28,0
23:08:20.559170,"ARP,",Ethernet,6,len,4,10.0.0.21,b6:9a:37:11:63:e5,28,1
23:08:20.736820,"ARP,",Ethernet,6,len,4,10.0.0.30,"10.0.0.1,",28,0
23:08:20.739401,"ARP,",Ethernet,6,len,4,10.0.0.30,6e:e2:af:c3:14:58,28,1
23:08:21.049098,"ARP,",Ethernet,6,len,4,10.0.0.10,"10.0.0.1,",28,0
23:08:21.051189,"ARP,",Ethernet,6,len,4,10.0.0.10,9a:9b:2b:89:b9:eb,28,1
23:08:21.353148,"ARP,",Ethernet,6,len,4,10.0.0.52,"10.0.0.1,",28,0
23:08:21.354568,"ARP,",Ethernet,6,len,4,10.0.0.52,f2:04:57:a2:b9:ff,28,1
23:08:21.525690,"ARP,",Ethernet,6,len,4,10.0.0.58,"10.0.0.1,",28,0
23:08:21.526235,"ARP,",Ethernet,6,len,4,10.0.0.58,f2:cb:0f:d8:6f:c7,28,1
23:08:21.701040,"ARP,",Ethernet,6,len,4,10.0.0.39,"10.0.0.1,",28,0
23:08:21.702545,"ARP,",Ethernet,6,len,4,10.0.0.39,86:12:ab:80:77:f2,28,1
